country,name,related_documents,policy_type,policy_status,impact_on_eu_ets_esd_or_lulucf_emissions,policy_target,total_ghg_emissions_reductions_in_2020,total_ghg_emissions_reductions_in_2030,jurisdiction,agency,policy_implementation_period_start_year,related_to_eu_policy_boolean,related_to_eu_policy,ghgs_affected,description,policy_implementation_period_end_year,link,data_source,world_region,country_region,city,policy_written_year,impact_evaluation,policy_financing_quantity,policy_financing_period_start,policy_financing_period_end,percent_private_funded,related_to_neeap_policy,related_to_neeap_policy_boolean
Belgium,TR-C02 : Promoting the purchase of clean vehicles,Single PaM,"Fiscal, Information",Implemented,ESD,Transport,,,"Government, Regional","Government: FED : FPS Health, Food Chain Safety and Environment - DG Environment,Regional: Wallonia DGO2 Budget",2004,Yes,Directive on the Promotion of Clean and Energy Efficient Road Transport Vehicles 2009/33/EC ,CO2,Promoting the purchase of clean vehicles by advertising CO2 emissions and annual publication containing information on CO2 emissions of all new vehicles on the Belgian market and identifying clean vehicles eligible for fiscal deduction. Bonuses and penalties existed in the Walloon system for buying a private vehicle according to CO2 emissions for both new and used cars. The mechanism is now reduced to penalties. In Flanders there is a system of ecoboni and ecomali taken into consideration when setting the tariff for road taxations. Pure electric vehicles and vehicles propelled by hydrogen are exempt from road taxations (both the road fund tax and the tax on entry into service). Plug-in hybrids are exempt until 2020 if they emit les than 50 g CO2/km.,,,eea,,,,,,,,,,,
Belgium,TR-C03 : Vehicles environmental impacts appraisal (ECOSCORE),Single PaM,Fiscal,Implemented,ESD,Transport,,,Regional,"Regional: Wallonia: AwAC,Regional: Brussels: IBGE,Regional: Flanders: LNE",2004,Yes,Regulation EURO 5 and 6 2007/715/EC;Directive on the Promotion of Clean and Energy Efficient Road Transport Vehicles 2009/33/EC ,CO2,"Environmental Impact Assessment of vehicles, reformation of the road fund tax and the tax on entry into service (ECOSCORE)",,,eea,,,,,,,,,,,
Belgium,TR-C04 : Specific support for the construction of clean vehicles,Single PaM,"Education, Research",Expired,ESD,Transport,,,Regional,Regional: Wallonia : DGO6 Economy,2004,Yes,Regulation on CO2 from cars and vans (2009/443/EC and no. 510/2011);Directive on the Promotion of Clean and Energy Efficient Road Transport Vehicles 2009/33/EC ,CO2,Wallonia: this measure corresponds to the establishment of special training sessions and R&D laboratories for the development of high performance/green automobiles. http://www.formation-campus-automobile.be/ Flanders : the measure refers to a financial support to the retrofit of engines on barges for inland waterways.,2015,,eea,,,,,,,,,,,
Belgium,TR-C05 : Best Available Technology for public transport,Single PaM,Regulatory,Implemented,ESD,Transport,,,Regional,"Regional: Wallonia : TEC,Regional: Brussels: STIB, IBGE,Regional: Flanders : De Lijn",2004,Yes,Directive on the Promotion of Clean and Energy Efficient Road Transport Vehicles 2009/33/EC ,CO2,Purchase of clean vehicles for public transport,,,eea,,,,,,,,,,,
Belgium,TR-D01 : Promoting bio-fuels,Single PaM,Regulatory,Implemented,ESD,Transport,1945.0,2717.0,Government,"Government: FED : FPS Health, Food Chain Safety and Environment - DG Environment + FPS Economy, SMEs, Self-Employed and Energy - DG Energy (E2)",2004,Yes,Biofuels directive 2003/30/EC;RES directive 2009/28/EC;Other (Union policy not listed above or additional Union policy) Fuel quality directive 98/70/EC amending Directive 93/12/EEC,CO2,"Minimal required volumes of sustainable biofuels in transport fuel, sustainability criteria",,www.climat.be/evaluation-PAMs,eea,,,,,,,,,,,
Belgium,AG-A01 : Reducing emissions from cultivation that uses greenhouses (glasshouses),Single PaM,"Economic, Information",Implemented,ESD,Energy consumption; Energy supply,,,Regional,"Regional: Wallonia : DG04 Energie,Regional: Flanders: LV, VEA, LNE",2004,Yes,"CAP Reform 2013 regulations: Rural Development (1305/2013), 'Horizontal' issues (1306/2013), Direct payments (1307/2013) and Market measures (1308/2013) ",CO2,"Subsidies, information, promotion of combines heat and power (CHP) and HP, investigation of available residual energy/CO2 from industry to be recycled in greenhouses. 
In the Walloon region, a subsidy is available to support the design of high efficiency greenhouses. 
In Flanders various policy instruments will continue to stimulate energy saving and sustainable and renewable energy production and consumption. These include financial support for energy saving techniques and investments in renewable energy, advice on the rational use of energy in permits, awareness raising, technological service, etc. Additionally, the energy consultant project was  strengthened and a pilot project is supported in which low value residual heat from waste incinerators is used to heat (and possibly CO2-fertilise) clustered greenhouses.",,,eea,,,,,,,,,,,
Belgium,AG-A02 : Financial incentives for rational use of energy in agriculture,Single PaM,"Economic, Fiscal",Implemented,ESD,Energy consumption; Energy supply,,,Regional,"Regional: Energy administrations,Regional: Flanders: also LV &amp; LNE",2004,Yes,"CAP Reform 2013 regulations: Rural Development (1305/2013), 'Horizontal' issues (1306/2013), Direct payments (1307/2013) and Market measures (1308/2013) ",CO2,"Financial instruments available for rational use of energy (RUE) and renewable energy systems (RES) in the private sectors are also made available for agriculture. Moreover, specific financial instruments exist in Flanders for the agriculture sector (see also AG-A01)",,,eea,,,,,,,,,,,
Belgium,AG-B01 : Reduction of greenhouse gas (GHG) emissions from fertilizers and manure usage,Single PaM,"Economic, Information, Regulatory",Implemented,ESD,Agriculture,,,Regional,"Regional: administrations of agriculture,Regional: Flanders: also environment administration",2004,Yes,"CAP Reform 2013 regulations: Rural Development (1305/2013), 'Horizontal' issues (1306/2013), Direct payments (1307/2013) and Market measures (1308/2013) ","CH4, N2O","Rural development plans are supplemented by specific measures on the rational use of organic and nitrogen based fertilizers. Such policies initially aimed at reducing the stress of pollution on surface and underground waters contribute to the reduction of N2O and CH4 emissions. Moreover, cross compliance regulations aim to protect pastures : prohibiting pastures reductions, regulating carbon and acidity contents and using measures to combat erosion. Additionally Flanders takes a number of other actions to further reduce CH4 and N2O emissions. Flanders will focus on further research and implementation of nutritional strategies, the composition of feed, good manure management practices, awareness-raising and (the provision of) information. Flanders will also work towards the small-scale anaerobic fermentation of pure manure by giving financial support for small scaled fermenters.",,,eea,,,,,,,,,,,
Belgium,AG-CO1 : Limiting deforestation and promoting reforestation,Single PaM,Economic,Implemented,LULUCF,"Land use, land use change and forestry",,,Regional,"Regional: Brussels: IBGE,Regional: relevant administrations in collaboration with AwAC(Wallonia),Regional: relevant administrations in collaboration with LNE (Flanders)",2004,Yes,LULUCF Decision No 529/2013/EU ,CO2,Limiting deforestation and encouraging reforestation,,http://cdr.eionet.europa.eu/be/eu/mmr/art04-13-14_lcds_pams_projections/envvk5kbg/,eea,,,,,,,,,,,
Belgium,AG-CO2 : Preserve the ecological stability of forests (certification),Single PaM,Regulatory,Implemented,LULUCF,"Land use, land use change and forestry",,,"Government, Regional","Government: FED : FPS Health, Food Chain Safety and Environment - DG Environment,Regional: Brussels: IBGE,Regional: relevant administrations in collaboration with AwAC(Wallonia),Regional: relevant administrations in collaboration with LNE (Flanders)",2004,Yes,LULUCF Decision No 529/2013/EU ,CO2,"Promotion of sustainably produced timber through sectoral agreement with the timber sector (since 2011) in order to  increase the share of sustainably produced timber on the Belgian market. + Promotion of certified wood products through public procurement.
Certification FSC & PEFC of forests
FSC : Forest Stewardship Council
PEFC : Programme for the Endorsement of Forest Certification Schemes (ex- Pan European Forest Certification).",,http://cdr.eionet.europa.eu/be/eu/mmr/art04-13-14_lcds_pams_projections/envvk5kbg/,eea,,,,,,,,,,,
Belgium,AG-D01 : Wood-energy plan,Single PaM,"Economic, Information",Expired,ESD,Agriculture; Energy supply,,,Regional,Regional: Wallonia : DG04 Energy and walloon rural foundation,2004,Yes,RES directive 2009/28/EC ,CO2,"Wallonia : Promotion of wood energy installations (wood heat generators, gasification of wood chips, other valorisation techniques). The main target of the plan are collectivites and municipalities.",2015,http://www.frw.be/index.php?id=78,eea,,,,,,,,,,,
Belgium,AG-D02 : Promote dedicated energy crops,Single PaM,Economic,Implemented,ESD,Energy supply,,,Regional,"Regional: Wallonia : DG04 Energy, &amp; walloon rural foundation",2004,Yes,RES directive 2009/28/EC ,CO2,"Promotion of (dedicated) energy crops.
This measure resulted from the application of the European subsidies for energy crops (common agricultural policy).",,,eea,,,,,,,,,,,
Belgium,AG-D03 : Specific support to promote biomethanisation,Single PaM,Economic,Implemented,ESD,Energy supply,,,Regional,Regional: Wallonia : DO4 Energie &amp; DGO3 Agriculture,2004,Yes,RES directive 2009/28/EC ,CO2,"Promotion of biomethanisation in agricultural establishments. 
Wallonia : a thorough analysis showed that potentialities existed but were not implemented due to low profitability and too complex constraints. Special support has thus been elaborated: simplified regulations, longer period during which green certificates are allocated, dedicated financial supports...",,,eea,,,,,,,,,,,
Belgium,AG-D04 : Quality standards for biofuels (wood pellets),Single PaM,Regulatory,Implemented,ESD,Energy supply,,,Government,"Government: FED : FPS Health, Food Chain Safety and Environment - DG Environment",2004,Yes,RES directive 2009/28/EC ,CO2,"The federal State has established quality standards for solid biofuels to enhance the market and promotes a purchasing policy preferential to certified wood (FSC, PEFC or equivalent).",,,eea,,,,,,,,,,,
Belgium,WA-A01 : Minimise quantities of wastes  dumped into landfills,Single PaM,Regulatory,Implemented,ESD,Waste management/waste,,,"Government, Regional","Government: FED : FPS Finance,Regional: Brussels: IBGE,Regional: Wallonia : DGO3 Waste management,Regional: Flanders: OVAM",2007,Yes,Landfill Directive 1999/31/EC ,CH4,"The Belgian waste policy takes into account the European waste hierarchy, with prevention (including recycling, repair, etc.) as the most favoured option and disposal (landfilling) as the least favoured option (cfr. Ladder of Lansinck). The prohibition of landfilling organic waste is in force. All the existing landfills still controlled are equipped with systems for biogas recovery, usually for the purpose of electricity generation. The old landfills are under surveillance which may lead, if necessary, to the installation of safety flares.",,,eea,,,,,,,,,,,
Belgium,WA-B01 : Optimize incineration of wastes,Single PaM,Economic,Implemented,EU ETS,Energy supply,,,Regional,"Regional: Brussels: ABP,Regional: Flanders: OVAM",2004,Yes,Waste Directive 2006/12/EC;Waste Management Framework Directive 2008/98/EC ,CO2,"Optimization of (new) waste incineration (incinerators) by improving the energy efficiency of new and existing waste incinerators, financial support for processing technologies that deliver a high quality end product and a net energy yield, stimulating maximum energy recuperation (for example via the system of green certificates and combined heat and power certificates, installing heating networks to households or companies in the vicinity of the waste incinerator, ...",,,eea,,,,,,,,,,,
Belgium,WA-C01 : Landfill gas flaring and recuperation,Single PaM,Economic,Implemented,EU ETS,Energy supply,,,Regional,"Regional: Flanders : OVAM,Regional: Wallonia : DGO3 : waste mangement",2004,Yes,Landfill Directive 1999/31/EC ,"CH4, CO2","All landfills in operation are equipped with biogas recovery and valorising biogas to produce electricity by generating green certificates to help support the costs. Former landfills, which are out of operation are equipped with flaring devices. In accordance with EC Directive 1999/31/EC, organic waste is no longer accepted in landfills.",,,eea,,,,,,,,,,,
Belgium,WA-D01 : Biomass flows management,Single PaM,Regulatory,Implemented,ESD,Energy supply,,,Regional,"Regional: Brussels: IBGE, ABP",2004,Yes,RES directive 2009/28/EC ,CO2,"Manage and quality control of biomass available for material recuperation or for energy usage.
The policy corresponds to the transposition of the  Directive 2009/28/EC concerning the sustainability criteria for bioliquids and biofuels.  Brussels Capital Region transposed the directive in the  ""Arrêté du Gouvernement pour la promotion d'électricité verte du 17 décembre 2015"" and applies only for bioliquids. Biofuels are the responsibility of the Federal entity.",,,eea,,,,,,,,,,,
Belgium,WA-E01 : Waste refrigerating fluids recuperation and management,Single PaM,"Education, Regulatory",Implemented,ESD,Industrial processes,,,Regional,"Regional: Brussels: IBGE,Regional: Flanders: LNE",2004,Yes,F-gas Regulation 517/2014 ,HFC,Reducing F-gas emissions by means of certification requirements for refrigeration companies and their personnel and inspection campaigns.,,,eea,,,,,,,,,,,
Belgium,SE-A01 : Climate Change Awareness,Single PaM,Information,Implemented,"ESD, LULUCF, EU ETS",Cross-cutting,,,"Government, Regional","Government: FED : FPS Health, Food Chain Safety and Environment - DG Environment,Regional: Brussels: IBGE,Regional: Wallonia : AwAC, DGO4 Energy,Regional: Flanders : LNE, VEA",2004,No,No information,"CO2, CH4, N2O, HFC, PFC, SF6, NF3","Communication via brochures and guides, campaigns in media and a website (www.klimaat.be / www.climat.be) on climate change, situation in Belgium, decisions and concrete actions that may interest general public.",,,eea,,,,,,,,,,,
Belgium,SE-A02 : Tools to promote rational energy use and renewable energy,Single PaM,Information,Implemented,ESD,Cross-cutting,1.0,1.0,"Government, Regional","Government: FED : FPS Health, Food Chain Safety and Environment - DG Environment,Regional: Brussels: IBGE,Regional: Wallonia : AwAC, DGO4 Energy,Regional: Flanders : LNE, VEA",2006,Yes,Directive 2006/32/EC on end-use energy efficiency and energy services;Energy Efficiency Directive 2012/27/EU ,CO2,"Development of communication tools concerning climate change, rational use of energy (RUE) and renewable energy 
Examples : cars CO2 emissions guide on line for those who want to select a low emission car ; CO2 calculator to estimate energy consumption from home appliances and different products (cars, lighting, windows, roof insulation) to make a better choice,… carbon calculator for households and small and medium-sized enterprises (SME's).
Brussels-Capital Region offers a free service for citizens with energy specialist in order to find the opportunities of reducing their energy consumption and to implement 3 small interventions per household (Insulation of pipelines in the Domestic Hot Water system, improvement of heating regulation, among others).",,http://www.energivores.be/HouseClosed.aspx?lang=FR,eea,,,,,,,,,,,
Belgium,SE-A03 : Environmental awareness in schools,Single PaM,Education,Implemented,"EU ETS, ESD",Energy consumption; Energy supply,,,"Government, Regional","Government: FED : FPS Health, Food Chain Safety and Environment - DG Environment,Regional: Brussels: IBGE,Regional: Wallonia : AwAC, DGO4 Energy,Regional: Flanders : LNE",2004,Yes,RES directive 2009/28/EC;Energy Efficiency Directive 2012/27/EU ,CO2,"Develop and use tools to increase awareness on climate change among students and teachers (notably educational files for primary and secundary schools (in Wallonia)) 
Fed: educational project on a low carbon society by 2050(FED). 
Flanders : the MOS project (Respect for the environment at school): MOS (www.milieuzorgopschool.be) is a project of the Flemish authorities on care for the environment from nursery to secondary school. The MOS project helps the school to develop its own environmental care scheme in a pedagogically responsible manner. An environmental care scheme at school is a set of measures and actions on which everyone works to make the school more environmentally friendly. Children and teenagers develop this environmental care scheme, tailor-made to their school, together with their teachers, management and school staff. MOS offers educational and practical support for this. The concrete content of MOS is determined by the school itself. MOS works around the topics of climate, ....",,,eea,,,,,,,,,,,
Belgium,SE-A04 : Ecocampus,Single PaM,Education,Implemented,"ESD, EU ETS",Cross-cutting,,,Regional,"Regional: Flanders: LNE,Regional: Wallonia : AwAC",2004,Yes,"Energy Efficiency Directive 2012/27/EU;EU ETS directive 2003/87/EC as  amended by Directive 2008/101/EC and Directive 2009/29/EC and implementing legislation, in particular 2010/2/EU, 2011/278/EU and 2011/638/EU ",CO2,"Flanders : Ecocampus programme for Universities 
Wallonia : Management  and climate change (interuniversity master degree)",,,eea,,,,,,,,,,,
Belgium,SE-A05 : Financial support for energy counsellors in interprofessional organisations,Single PaM,Information,Implemented,ESD,Agriculture; Energy consumption; Energy supply; Industrial processes,,,Regional,"Regional: Brussels: IBGE,Regional: Flanders: VEA, LNE",2004,Yes,Energy Efficiency Directive 2012/27/EU ,"CO2, N2O, CH4","Provision of project grants for energy consultants to inter-professional organizations. These energy consultants help there member organizations to reduce energy consumption, increase energy efficiency, increase energy supply form renewable energy sources, improve animal waste management systems, ...",,,eea,,,,,,,,,,,
Belgium,SE-A06 : Training of energy managers,Single PaM,Education,Implemented,ESD,Energy consumption,,,Regional,"Regional: Brussels: IBGE,Regional: Wallonia: DGO4 Energy",2004,Yes,Energy Efficiency Directive 2012/27/EU ,CO2,"Training of energy / Vocational-Technical : establishing energy/CO2 skills among managers of large buildings in the tertiary sector. For instance : 
Wallonia : Formation of energy managers in tertiary buildings : 13 days per year, certifying exam and end of study project. http://energie.wallonie.be/fr/la-formation-certifiante-de-responsable-energie.html?IDD=11822&IDC=6136 
Brussels : Brussels has developed a network of facilitators and advisors for professionals. These experts introduce professionals to technical innovations in the areas of energy and eco-design. These specialists are selected through calls for tenders. Two kinds of facilitator exist : the sustainable building facilitators and the sustainable neighbourhood facilitators. Their mission consists of providing free advice and free guidance to project sponsors in technical matters relating to the areas of energy, including renewable energy, cogeneration and eco-design, on the level of both buildings and their facilities and neighbourhoods. They also organise seminars, visits or trips, etc. Facilitators are accessible by calling a free phone number. To accelerate the thorough renovation of the buildings, sustainable building facilitator service will be improved and made more dynamic. www.bruxellesenvironnement.be/facilitateur",,,eea,,,,,,,,,,,
Belgium,SE-A07 : Support to local initiatives (sustainable neighborhood),Single PaM,"Economic, Information",Expired,ESD,Cross-cutting,,,"Government, Regional","Government: FED : FPS Health, Food Chain Safety and Environment - DG Environment,Regional: Brussels: IBGE,Regional: Flanders: LNE",2004,Yes,Energy Efficiency Directive 2012/27/EU ,CO2,"Supporting initiatives by citizens to increase awareness of saving energy and climate change issues.
This measure encompasses a wide range of initiatives undertaken by all levels of government.",2012,,eea,,,,,,,,,,,
Belgium,SE-A08 : Urban policy,Single PaM,"Economic, Information",Expired,ESD,Energy consumption,,,Government,"Government: FED : PPS Social Integration, Fight against Poverty and Social Economy - Federal Service for Urban policy",2000,Yes,Effort Sharing Decision 406/2009/EC;Energy Efficiency Directive 2012/27/EU ,CO2,"Recognising and supporting the importance of large cities management.  Supporting the Covenant of Mayors.
Specific policy for large cities to develop a harmonised development that contribute to the economic growth.",2014,,eea,,,,,,,,,,,
Belgium,SE-B01 : Supporting sustainable cooling systems in dwellings,Single PaM,Education,Expired,ESD,Energy consumption,,,Regional,"Regional: Flanders : relevant administrations LNE, VEA",2004,Yes,Energy Efficiency Directive 2012/27/EU ,CO2,"Flanders :Support to (natural and) renewable cooling through demonstration projects and awareness raising campaigns, as alternative methods to conventional heating, ventilation and air-conditioning (HVAC)",2008,,eea,,,,,,,,,,,
Belgium,SE-B02 : Guidance on rational use of energy to low income communities,Single PaM,Information,Implemented,ESD,Energy consumption,,,Regional,"Regional: Brussels: IBGE,Regional: Flanders : VEA,Regional: Wallonia : DGO4 Energy &amp; CPAS",2004,Yes,Energy Efficiency Directive 2012/27/EU ,CO2,Supporting residents of disadvantaged groups in rational use of energy to meet rational deal with energy,,,eea,,,,,,,,,,,
Belgium,SE-B03 : Pilot projects in social housing and school construction to evaluate sustainable energy measures,Single PaM,"Education, Research",Implemented,ESD,Energy consumption,,,Regional,"Regional: Brussels: IBGE,Regional: Flanders: VMSW, Agion, GO!",2004,Yes,Energy Efficiency Directive 2012/27/EU ,CO2,Evaluating sustainable energy measures through pilot and demonstration projects in social housing and school construction,,,eea,,,,,,,,,,,
Belgium,"SE-B05 : Youth, space and environment project",Single PaM,Education,Implemented,ESD,Cross-cutting,,,Regional,Regional: Flanders : LNE,2004,Yes,Energy Efficiency Directive 2012/27/EU ,CO2,"JeROM project (Youth, Space, Surroundings and Environment): Flanders encourages young people to adopt critical involvement and a sense of responsibility regarding environmentally compatible behaviour. Youth groups are supported to integrate care of the environment in their work. For this purpose, they are provided with knowledge, insight and educational instruments and are encouraged to reduce their impact on the environment.",,,eea,,,,,,,,,,,
Belgium,SE-B06 : Guidance on rational energy use in adults associations,Single PaM,Information,Implemented,ESD,Cross-cutting,,,Regional,Regional: Flanders : LNE,2004,Yes,Energy Efficiency Directive 2012/27/EU ,CO2,"As part of its nature and environmental education (NME = Natuur en Milieueducatie), Flanders has set up the operation ""Niet voor groentjes"" (approximate translation ‘Not for novices’, wordplay is lost in translation). This operation primarily targets socio-cultural work for adults. The operation encourages and supports adult organisations in devising and carrying out nature and environmental activities by providing information and methodologies, looking for partners, etc.",,,eea,,,,,,,,,,,
Belgium,SE-B07 : Promotion and financial support for energy audits in individual dwellings,Single PaM,Economic,Implemented,ESD,Energy consumption,,,Regional,"Regional: Brussels: ABEA,Regional: Wallonia : DGO4 Energy,Regional: Flanders: VEA",2004,Yes,Energy Efficiency Directive 2012/27/EU ,CO2,"Promotion and financial support for energy audits in dwellings.
- http://homegrade.brussels/ provides information concerning  soundproofing, energy management, renovation, and urbanisme. Visites to your house are proposed aiming to reduce energy consumption, there is also councelling for building renovation
- http://energie.wallonie.be/fr/audit-energetique-des-logements-pae2.html?IDC=6048",,,eea,,,,,,,,,,,
Belgium,SE-B08 : Energy counsellors,Single PaM,Information,Implemented,ESD,Energy consumption,,,Regional,Regional: Brussels: ABEA,2004,Yes,Energy Efficiency Directive 2012/27/EU ,CO2,"Brussels has developed a network of facilitators and advisors for professionals. These experts introduce professionals to technical innovations in the areas of energy and eco-design. These specialists are selected through calls for tenders. Two kinds of facilitator exist : the sustainable building facilitators and the sustainable neighbourhood facilitators. Their mission consists of providing free advice and free guidance to project sponsors in technical matters relating to the areas of energy, including renewable energy, cogeneration and eco-design, on the level of both buildings and their facilities and neighbourhoods. They also organise seminars, visits or trips, etc. Facilitators are accessible by calling a free phone number. To accelerate the thorough renovation of the buildings, sustainable building facilitator service will be improved and made more dynamic.",,,eea,,,,,,,,,,,
Belgium,SE-B09 : Eco-construction,Single PaM,Planning,Implemented,ESD,Energy consumption,,,Regional,Regional: Brussels : IBGE,2004,Yes,Energy Efficiency Directive 2012/27/EU ,CO2,"Project Ecobuild : promoting rational use of energy in buildings through municipalities. Several projects aim to promote eco-construction such as Brussels greenbizz is a particular European Regional Development Fund (ERDF) project (2007-2013, € 16 million) aiming to set up an environmental business incubator in the areas of eco-construction, renewable energy and green products.",,,eea,,,,,,,,,,,
Belgium,SE-C01 : Training of energy and building professionals,Single PaM,Education,Implemented,ESD,Energy consumption,,,Regional,Regional: Brussels : IBGE,2004,Yes,Energy Efficiency Directive 2012/27/EU ,CO2,A variety of seminars and courses are organized by the Brussels region (http://www.environnement.brussels/guichet/seminaires-et-formations?view_pro=1 ). For more details see policies and measures SE A06: Training of energy managers.,,,eea,,,,,,,,,,,
Belgium,SE-C02 : Eco-efficiency scans,Single PaM,Economic,Implemented,ESD,Cross-cutting,,,Regional,Regional: Regional energy efficiency departments,2004,No,No information,CO2,"Investments in eco-efficiency of small and medium-sized enterprises (SMEs): improve energy efficiency by designing environmentally friendlier products, adapting production processes and better valorising wastes; examining markets to try to adapt to customers demands and demonstrating benefits of changes (e.g. profitability and better respect of environment)",,,eea,,,,,,,,,,,
Belgium,SE-C03 : Raise awareness about the reduction of F-gases in the refrigeration sector,Single PaM,Information,Implemented,ESD,Industrial processes,,,Regional,"Regional: Flemish Region : LNE,Regional: Brussels Region : IBGE/BIM,Regional: Walloon Region : AwAC",2004,Yes,F-gas Regulation 517/2014 ,HFC,Increase specific awareness about cooling needs and solutions through providing information about the relevant legislation and ways to reduce emissions,,,eea,,,,,,,,,,,
Belgium,SE-C04 : Social responsibility of businesses,Single PaM,Information,Implemented,ESD,Cross-cutting,,,Companies,Companies: Businesses,2004,Yes,Energy Efficiency Directive 2012/27/EU ,CO2,"Managing enterprises in coherence with their social and environmental neighbourhood. Corporate social responsibility (CSR) is an improvement process in which businesses, on a voluntary basis, systematically and consistently include social, environmental and economic considerations in their business management, in consultation with their stakeholders (customers, staff, suppliers).
Flanders has set up the Corporate Social Responsibility Knowledge Centre (http://www.mvovlaanderen.be/) to inform and inspire businesses. 
Brussels Environment is organising a large number of information and training sessions on environmental themes (energy, eco-construction, mobility, etc.). The seminars, colloquiums and guided visits are intended to inform professionals about the current legislation and the latest technological developments, to pass on technical advice from specialists and feedback from other bodies and to allow them to become familiar with exemplary installations. The training is organised in cycles which take place over several months and usually end with an evaluation leading to a certificate. The training is intended for a specialised public wishing to acquire specific knowledge in the technical field.",,,eea,,,,,,,,,,,
Belgium,SE-C05 : Eco-dynamic label for businesses,Single PaM,Information,Implemented,ESD,Cross-cutting,,,Regional,Regional: Brussels: IBGE,2004,Yes,Energy Efficiency Directive 2012/27/EU ,CO2,"Brussels : The ""Eco-dynamic Enterprise"" label : Recognising clean enterprises to promote good practice. The « Eco Dynamic » Label is awarded to businesses that develop sustainable management measures and pursue a green policy and can demonstrate that they are making progress notably in areas such as waste management, the rational use of energy or workers mobility management. From an administrative point of view, this label is less cumbersome than the EMAS or ISO 14001 labels and is therefore is more suited for small and medium-sized enterprises (SME’s) or other small structures. Bodies applying for the label are offered tailored coaching by an expert. A simplified procedure has been put in place for EMAS and ISO 14001certified bodies applying for the Brussels label. With 173 sites having been awarded the “Entreprise Ecodynamique” label, of which 52 are in the public sector (36 from these 52 are regional Brussels public administrations, municipal or intermunicipal bodies), the label has been proven a great success. The 173 successful candidates who have been awarded the label employ more than 45,000 FTEs (Full-time equivalents). 450 hours are spent on coaching applicants.",,,eea,,,,,,,,,,,
Belgium,SE-D01 : Clean vehicles promotion campaign,Single PaM,Information,Implemented,ESD,Transport,,,Regional,"Regional: Brussels: IBGE,Regional: Flanders: LNE, MOW",2004,Yes,Directive on the Promotion of Clean and Energy Efficient Road Transport Vehicles 2009/33/EC ,CO2,"Promoting the purchase of clean vehicles via awareness campaigns, which take various forms.",,,eea,,,,,,,,,,,
Belgium,SE-D02 : Eco-driving promotion campaign,Single PaM,Information,Implemented,ESD,Transport,,,Regional,"Regional: Brussels: IBGE,Regional: Flanders: LNE, MOW",2004,Yes,Directive on the Promotion of Clean and Energy Efficient Road Transport Vehicles 2009/33/EC ,CO2,"Sensibilisation campaign on eco-driving via awareness campaigns, which take various forms.",,,eea,,,,,,,,,,,
Belgium,SE-D03 : Meeting on sustainable mobility needs campaign,Single PaM,Information,Implemented,ESD,Transport,,,Regional,"Regional: Brussels: IBGE,Regional: Flanders: LNE, MOW",2004,No,No information,CO2,Raise awareness of citizens to satisfy their mobility needs in a sustainable way,,,eea,,,,,,,,,,,
Belgium,SE-E01 : Knowledge Centre on energy for agriculture and horticulture,Single PaM,Education,Implemented,ESD,Agriculture,,,Regional,Regional: Flanders : LV,2004,No,No information,CO2,Flanders has established a permanent structure for energy consumption in agriculture and horticulture. An adviser provides information on rational use of energy and the new energy technologies in the broad sense (technical and administrative information). A second activity is the ‘technology watch’ and monitoring the market for available technology.,,,eea,,,,,,,,,,,
Belgium,SE-E02 : Environmental accounting/reporting,Single PaM,Information,Implemented,ESD,Agriculture,,,Regional,Regional: Flanders: LV,2004,No,No information,"CO2, CH4, N2O","Reducing emissions from the agricultural sector by raising awareness of farmers through environmental accounting/reporting. In Flanders, the farmers’ staff services emphasise the usefulness of advice on and monitoring of environmental accounting (energy, water, fertilisers, pesticides). Information sessions and demonstration projects on energy crops and biofuels are organised for this target group.",,,eea,,,,,,,,,,,
Belgium,SE-E03: Consumer behaviour and improved sustainability of the entire chain,Single PaM,"Information, Voluntary",Implemented,ESD,Cross-cutting,,,Regional,"Regional: Flanders: LV, LNE, Interdepartemental workinggroup on foodlos",2008,No,No information,"CO2, CH4","Various plans and strategies focus on consumer behaviour - which can have a major, indirect impact on the climate by making particular choices for food - and on improving the sustainability of the entire food chain. These include the Short Supply Chain Strategic Plan, the Organic Agriculture Strategic Plan, awareness-raising for a more sustainable diet and various projects designed to counter food loss and waste, and to maximise the use of biowaste and organic byproducts.",,,eea,,,,,,,,,,,
Belgium,OB-A01 : Sustainable public procurement,Single PaM,Economic,Implemented,"ESD, EU ETS",Cross-cutting,,,"Government, Regional","Government: FED : pilot : Federal Institute for Sustainable Development and the Interdepartmental Commission for Sustainable Development --&gt; all the federal services should implement this action,Regional: Brussels: Public bodies,Regional: Flanders: Public bodies",2004,Yes,Energy Efficiency Directive 2012/27/EU;Directive on the Promotion of Clean and Energy Efficient Road Transport Vehicles 2009/33/EC ,"CO2, N2O, CH4, HFC, PFC, SF6, NF3",The federal and regional governments lead by example by integrating sustainability criteria in public procurement.,,http://guidedesachatsdurables.be/fr,eea,,,,,,,,,,,
Belgium,OB-A02 : Sustainable criteria for community catering,Single PaM,Economic,Expired,ESD,Cross-cutting,,,Government,Government: FED: Federal Institute for Sustainable Development,2008,No,No information,"CO2, CH4, N2O","Pilot project to promote sustainable food in federal canteens focusing on different aspects of sustainable agriculture, importance of food-miles, etc.",2015,,eea,,,,,,,,,,,
